willing_for_participation,,,role_in_conference,result_after_hearing_Education_Keynote,panel_attended,pannel_attended_all_apply,"Please explain more, if you choose ""None of the above"" for the previous question.",knowledge_increase,"desire_for_collaboration 
",Grant_Application_Intent,Volunteering _in_community,involving_panelists_ community,Well_representation_of_Diverse panelists,Well_representation_of_Multiple_service_models,committed_to_being_engaged_in_community,Learnings_from_LUD,Inspired_for_being_more_socially_committed_responsible,experience_with_networking_with_other_LUD_participants_or_speakers,conference_improovement,comments_or_suggestions
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Let us dream for a better world and work towards it,Yes,Good ,NA,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Neutral,Agree,Not applicable,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Focus and enthusiasm towards are goals,Yes as already being part of these social action this conference motivated me to do my work with passion,They all are so good and knowledge and I would like to talk to them more,Interaction and timings can be increased ,Eagerly waiting for upcoming conferences
"Yes, I am happy to participate in this survey",,,Educator,More strongly committed to my specific community service organization,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,It's been an eye-opener for the community approach system that we already have,"Yes it has, with the opportunity it has provided to connect with like-minded professionals",Positive ,More panel discussions ,NA
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",.,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,I learnt about the policies of education.,Yes it inspired me.,It was good,No need to improve it's good,No
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Be optimistic ,By being responsible and caring to our selves and people,Great,More awarness,No
"Yes, I am happy to participate in this survey",,,Student,Going back to my community with the plan of calling others to community action,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,"Empower Community , volunteer and take a lead for a change . ",Yes. It gave me multiple purpose of education ,They were very good. ,Please follow the timings. ,No
"Yes, I am happy to participate in this survey",,,Community Social Service Provider/NGO,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education",Motivating and encouraging,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Practice, participate,Spread together and implement",Most,Excellent,Lot of learnings and involvement ,Very nice and knowledgeable
"Yes, I am happy to participate in this survey",,,University Faculty or Staff,Planning to get involved within my community,Storytellers of Change: Scripting A Resilient Story For Tomorrow,Storytellers of Change: Scripting A Resilient Story For Tomorrow,,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,That i have to get more engaged within my community and learn/teach about how to make our education more inclusive ,"Yes definitely, by involving more with our community and moving forward together ",Very informative and insightful ,Everything was already perfect ,No 
"Yes, I am happy to participate in this survey",,,Research Scholar,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Change is education system is necessary,"Yes, I 2oukd like to implement someday.","Yes, good to speak with new people",Na,No comments
"Yes, I am happy to participate in this survey",,,Student,More strongly committed to my specific community service organization,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,To help the society in all the possibile way.,Yes. Before I was not that active but now I want to be more active and i want to contribute more to the society ,Everyone was very friendly and they were very open to all the views.,More audience can be involved and more PR can be done. ,No
"Yes, I am happy to participate in this survey",,,Research Scholar ,Planning to get involved within my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",NIL,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Education is wisdom.,Yes,Inspired ,NIL ,NIL
"Yes, I am happy to participate in this survey",,,Student,Processing what I heard today and uncertain of my next step,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Give back to society,Gained knowledge about various issues and topics,It was good,It's all good,Nope.. All good
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Strongly agree,Neutral,Neutral,Agree,Strongly agree,,Agree,The education track of the let us dream conference talked about the need to change education as well as substantial and sustainable methods to actually get these changes to begin.,This conference definitely has inspired me to be more socially responsible. While I do not have substantial plans yet I am hoping to inspire some of my other classmates who could not be here and get them engaged along with me. ,Networking with others was definitely a challenge for an introvert like me but everyone was so nice and friendly that the process became quite easier. ,I have no suggestions ,Nope 
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,I want to know more about it and wanna participate in more conferences,Yes,Good,. ,No
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",I learnt more and found it very useful it was very enlightening and inspiring to hear the stories told by the panel,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,"From this conference i learnt about the education system, the policies , the flaws and everything it was very enlightening ",Yes this conference clearly made me understand how hard is it for other people and the benefits they get by us being socially committed and more,It was good,More interactive with audience maybe overall it was good,It was good and very inspiring 
"Yes, I am happy to participate in this survey",,,Student,Planning to get involved within my community,"Re-Imagining Global Education Policies, Reforms and Innovations","Re-Imagining Global Education Policies, Reforms and Innovations",,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Agree,To be connected and spread kindness,"Yes, It showed me importance of my people and community.",Get new insights on education.,By more activities ,None
"Yes, I am happy to participate in this survey",,,Student,Planning to seek information about ways to become more socially engaged in my community,"Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow","Re-Imagining Global Education Policies, Reforms and Innovations, Equalized: Embrace Diversity, Empower Minds in Education, Storytellers of Change: Scripting A Resilient Story For Tomorrow",,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,"Inclusive learning,  and Dream",Yes,It was wonderful ,It was great,No
"Yes, I am happy to participate in this survey",,,"Student, PhD Scholar",Planning to seek information about ways to become more socially engaged in my community,"Equalized: Embrace Diversity, Empower Minds in Education","Equalized: Embrace Diversity, Empower Minds in Education",,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Reimagine the education,Yes,It was good,It's good only,No
